epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.895,1.21649,2.50369,1.14945,0.50851,0.61152,0.57667,0.34105,1.38779,1.86811,1.37601,0.000551698,0.000551698,0.000551698
2,114.985,1.36843,1.45815,1.28779,0.70109,0.48342,0.55856,0.32651,1.44041,2.34861,1.47247,0.0010964,0.0010964,0.0010964
3,169.184,1.38593,1.41885,1.30162,0.5294,0.47708,0.46242,0.27487,1.4984,1.8427,1.44971,0.0016301,0.0016301,0.0016301
4,223.734,1.37293,1.37959,1.31174,0.6929,0.54468,0.59909,0.32549,1.49727,1.90536,1.4613,0.00161749,0.00161749,0.00161749
5,279.507,1.34444,1.28354,1.28478,0.77054,0.68516,0.76437,0.47924,1.26712,1.07514,1.30424,0.00160099,0.00160099,0.00160099
6,333.087,1.30443,1.20951,1.26007,0.66573,0.61773,0.65893,0.40161,1.30409,1.39217,1.31679,0.00158448,0.00158448,0.00158448
7,387.358,1.23618,1.16643,1.21668,0.84097,0.65517,0.78617,0.52877,1.16498,1.02562,1.2259,0.00156798,0.00156798,0.00156798
8,443.28,1.22733,1.09432,1.21972,0.84295,0.73066,0.80398,0.51704,1.19351,0.99314,1.2374,0.00155148,0.00155148,0.00155148
9,497.75,1.21343,1.08658,1.19813,0.83271,0.68717,0.80648,0.52565,1.19515,0.93322,1.22979,0.00153497,0.00153497,0.00153497
10,551.988,1.18455,1.04687,1.18598,0.78986,0.70176,0.79802,0.5334,1.1389,0.94285,1.19931,0.00151847,0.00151847,0.00151847
11,605.901,1.15427,1.00907,1.16473,0.80812,0.72589,0.79179,0.52566,1.15719,0.97589,1.21419,0.00150197,0.00150197,0.00150197
12,659.395,1.1484,0.98844,1.15597,0.81254,0.70356,0.78756,0.54401,1.08143,0.96001,1.17931,0.00148546,0.00148546,0.00148546
13,715.168,1.14762,1.00111,1.17382,0.82792,0.76847,0.81477,0.57143,1.08837,0.82363,1.17182,0.00146896,0.00146896,0.00146896
14,768.528,1.10673,0.9331,1.14098,0.88829,0.73769,0.84542,0.57306,1.11578,0.81746,1.18264,0.00145246,0.00145246,0.00145246
15,821.957,1.08241,0.92174,1.13744,0.85784,0.76925,0.85654,0.60003,1.02346,0.80748,1.12749,0.00143595,0.00143595,0.00143595
16,876.862,1.06627,0.8895,1.10894,0.8152,0.80119,0.84283,0.59073,1.05533,0.82053,1.17425,0.00141945,0.00141945,0.00141945
17,929.663,1.08035,0.86901,1.13526,0.8174,0.7339,0.79854,0.55022,1.055,0.8694,1.1694,0.00140295,0.00140295,0.00140295
18,982.139,1.06491,0.87507,1.1117,0.87909,0.78532,0.85482,0.60378,1.04593,0.77925,1.12984,0.00138644,0.00138644,0.00138644
19,1036.14,1.0566,0.86275,1.11477,0.83081,0.79157,0.83345,0.57591,1.05507,0.79692,1.15262,0.00136994,0.00136994,0.00136994
20,1089.02,1.07369,0.86209,1.12724,0.88226,0.76615,0.85766,0.59921,1.02997,0.75915,1.13786,0.00135344,0.00135344,0.00135344
21,1142.11,1.02449,0.82143,1.10368,0.91149,0.79759,0.87378,0.62777,1.0033,0.70801,1.1111,0.00133693,0.00133693,0.00133693
22,1196.35,1.00674,0.80723,1.08376,0.87484,0.79827,0.85789,0.61411,0.98191,0.70716,1.10544,0.00132043,0.00132043,0.00132043
23,1248.81,1.00008,0.80355,1.08584,0.90354,0.81732,0.8843,0.63126,0.99033,0.67136,1.12027,0.00130393,0.00130393,0.00130393
24,1301.47,0.99945,0.79773,1.09576,0.86551,0.7866,0.86592,0.62461,0.97063,0.68268,1.08943,0.00128742,0.00128742,0.00128742
25,1354.88,0.98228,0.75727,1.07618,0.85154,0.79656,0.86982,0.61938,0.99494,0.74448,1.09119,0.00127092,0.00127092,0.00127092
26,1407.28,0.98101,0.76196,1.07238,0.85492,0.79591,0.86176,0.62349,0.98906,0.6819,1.10045,0.00125442,0.00125442,0.00125442
27,1460.15,0.99269,0.76288,1.07534,0.90412,0.79624,0.88185,0.63934,0.98493,0.64918,1.09883,0.00123791,0.00123791,0.00123791
28,1514.43,0.9786,0.74403,1.06726,0.88521,0.81933,0.88024,0.6349,0.98575,0.65264,1.12127,0.00122141,0.00122141,0.00122141
29,1567.07,0.95871,0.73783,1.06637,0.87195,0.83583,0.87653,0.63904,0.95379,0.63644,1.0816,0.00120491,0.00120491,0.00120491
30,1622.07,0.95806,0.73797,1.05327,0.90715,0.82336,0.90297,0.66257,0.93097,0.61618,1.05815,0.0011884,0.0011884,0.0011884
31,1675.11,0.93819,0.70395,1.04513,0.88484,0.83541,0.88154,0.64882,0.93927,0.6302,1.08163,0.0011719,0.0011719,0.0011719
32,1727.59,0.9524,0.69836,1.04319,0.91333,0.81793,0.88894,0.65003,0.95979,0.63329,1.07484,0.0011554,0.0011554,0.0011554
33,1781.63,0.94437,0.70738,1.04628,0.89733,0.82986,0.90067,0.66578,0.93222,0.61822,1.05603,0.00113889,0.00113889,0.00113889
34,1834.28,0.92442,0.67048,1.04599,0.94966,0.79827,0.89415,0.66177,0.92579,0.6001,1.06853,0.00112239,0.00112239,0.00112239
35,1887.38,0.932,0.68861,1.03715,0.9061,0.82968,0.8949,0.66489,0.92166,0.57176,1.04992,0.00110589,0.00110589,0.00110589
36,1940.8,0.92401,0.65311,1.033,0.91908,0.84811,0.91429,0.67813,0.90889,0.57512,1.0471,0.00108938,0.00108938,0.00108938
37,1993.73,0.90716,0.65959,1.02928,0.95006,0.8083,0.90269,0.67012,0.91054,0.61554,1.0647,0.00107288,0.00107288,0.00107288
38,2046.67,0.89996,0.66969,1.03118,0.89909,0.82251,0.8941,0.65534,0.92559,0.57832,1.05528,0.00105638,0.00105638,0.00105638
39,2100.23,0.90667,0.65706,1.02876,0.88122,0.86014,0.90176,0.6617,0.90625,0.59583,1.04595,0.00103987,0.00103987,0.00103987
40,2152.98,0.8788,0.6363,1.01785,0.95631,0.84038,0.90223,0.66194,0.9031,0.56183,1.05113,0.00102337,0.00102337,0.00102337
41,2206.33,0.88295,0.62143,1.02635,0.9252,0.84124,0.90176,0.66105,0.91953,0.56856,1.05592,0.00100687,0.00100687,0.00100687
42,2259.95,0.87598,0.62645,1.01883,0.931,0.81219,0.89107,0.66366,0.92567,0.60112,1.05429,0.000990365,0.000990365,0.000990365
43,2312.86,0.88129,0.62737,1.01957,0.90998,0.84308,0.89187,0.66939,0.89802,0.5696,1.03686,0.000973861,0.000973861,0.000973861
44,2366.25,0.86949,0.6285,1.02176,0.94562,0.83004,0.90392,0.67025,0.90532,0.56386,1.04976,0.000957358,0.000957358,0.000957358
45,2420.53,0.86637,0.607,1.00151,0.9412,0.80967,0.90377,0.68127,0.88475,0.56069,1.03635,0.000940855,0.000940855,0.000940855
46,2474.08,0.8643,0.62486,1.0051,0.92672,0.82289,0.89668,0.67557,0.91326,0.58313,1.05698,0.000924352,0.000924352,0.000924352
47,2527.28,0.86376,0.5985,1.00543,0.92751,0.82781,0.90124,0.67657,0.87834,0.56107,1.02551,0.000907848,0.000907848,0.000907848
48,2581.3,0.84716,0.59283,1.0017,0.9324,0.82923,0.89826,0.6819,0.87403,0.5585,1.02371,0.000891345,0.000891345,0.000891345
49,2634.36,0.83154,0.58086,0.99454,0.92912,0.82402,0.91234,0.68713,0.87906,0.53957,1.02434,0.000874842,0.000874842,0.000874842
50,2687.59,0.84879,0.59949,0.9952,0.87905,0.8689,0.90728,0.69101,0.86584,0.54694,1.0137,0.000858338,0.000858338,0.000858338
51,2741.37,0.84332,0.59133,1.00774,0.92367,0.844,0.91239,0.68604,0.86897,0.5335,1.01999,0.000841835,0.000841835,0.000841835
52,2794.45,0.84667,0.59006,1.0008,0.94252,0.84377,0.90624,0.68337,0.89289,0.56115,1.04231,0.000825332,0.000825332,0.000825332
53,2847.43,0.84598,0.57817,1.00787,0.92761,0.79978,0.89689,0.681,0.87792,0.56636,1.03442,0.000808828,0.000808828,0.000808828
54,2900.65,0.8129,0.55204,0.98202,0.90016,0.85136,0.91412,0.68653,0.86144,0.55484,1.02735,0.000792325,0.000792325,0.000792325
55,2954.18,0.8073,0.56282,0.98764,0.95295,0.82327,0.89468,0.68492,0.85089,0.53773,1.01529,0.000775822,0.000775822,0.000775822
56,3007.08,0.81969,0.57649,0.98206,0.91245,0.85246,0.90305,0.69442,0.84786,0.53826,1.01894,0.000759318,0.000759318,0.000759318
57,3059.72,0.79101,0.53599,0.97687,0.92449,0.83541,0.903,0.6816,0.87549,0.55246,1.02285,0.000742815,0.000742815,0.000742815
58,3113.92,0.79326,0.55091,0.97509,0.91805,0.84253,0.90717,0.68479,0.87387,0.54991,1.02469,0.000726312,0.000726312,0.000726312
59,3166.76,0.79933,0.54181,0.97369,0.91482,0.85598,0.90736,0.68429,0.87036,0.53737,1.02961,0.000709809,0.000709809,0.000709809
60,3219.69,0.79349,0.54197,0.98364,0.937,0.85884,0.91421,0.70211,0.84599,0.5039,1.01882,0.000693305,0.000693305,0.000693305
61,3273.42,0.8141,0.55203,0.98537,0.93562,0.83993,0.90468,0.6886,0.8637,0.55829,1.03247,0.000676802,0.000676802,0.000676802
62,3327.24,0.78476,0.53462,0.97534,0.90428,0.8185,0.90253,0.6888,0.86512,0.55053,1.02053,0.000660299,0.000660299,0.000660299
63,3381.41,0.77606,0.51584,0.96772,0.94332,0.80026,0.90453,0.68731,0.86592,0.55432,1.02728,0.000643795,0.000643795,0.000643795
64,3436.19,0.7813,0.51447,0.96502,0.94752,0.83641,0.91147,0.70195,0.85118,0.50906,1.01374,0.000627292,0.000627292,0.000627292
65,3488.94,0.77781,0.50704,0.96664,0.93452,0.85581,0.9137,0.7039,0.8424,0.50237,1.00561,0.000610789,0.000610789,0.000610789
66,3542.84,0.76935,0.51919,0.96053,0.92505,0.85883,0.91381,0.69626,0.85391,0.51811,1.0276,0.000594286,0.000594286,0.000594286
67,3596.66,0.76894,0.50701,0.96088,0.91854,0.8528,0.91157,0.69474,0.84515,0.52107,1.01278,0.000577782,0.000577782,0.000577782
68,3650.33,0.75583,0.50278,0.96674,0.90883,0.86103,0.91011,0.69178,0.85399,0.52874,1.01849,0.000561279,0.000561279,0.000561279
69,3704.99,0.7413,0.48666,0.95593,0.94079,0.85235,0.91485,0.70287,0.83706,0.51753,1.0046,0.000544776,0.000544776,0.000544776
70,3760.58,0.74147,0.48952,0.95273,0.93017,0.8458,0.91642,0.70363,0.82937,0.50726,0.99938,0.000528272,0.000528272,0.000528272
71,3814.6,0.74569,0.50786,0.96365,0.94654,0.83893,0.91415,0.69246,0.85538,0.51548,1.01901,0.000511769,0.000511769,0.000511769
72,3868.29,0.74318,0.48881,0.94915,0.97226,0.83666,0.92079,0.71135,0.84298,0.50429,1.01486,0.000495266,0.000495266,0.000495266
73,3923.1,0.73164,0.48051,0.94641,0.93427,0.8551,0.92108,0.71147,0.84441,0.50796,1.01869,0.000478762,0.000478762,0.000478762
74,3977.24,0.72034,0.46665,0.94228,0.94395,0.83942,0.9207,0.7101,0.85822,0.50323,1.02178,0.000462259,0.000462259,0.000462259
75,4030.39,0.73305,0.46979,0.94469,0.93493,0.84979,0.91332,0.70931,0.84386,0.50936,1.01724,0.000445756,0.000445756,0.000445756
76,4083.96,0.71805,0.46395,0.95095,0.94392,0.84571,0.91326,0.69958,0.85211,0.52635,1.02022,0.000429253,0.000429253,0.000429253
77,4138.7,0.72572,0.45829,0.9378,0.93033,0.84961,0.90905,0.7047,0.84467,0.52408,1.01013,0.000412749,0.000412749,0.000412749
78,4193.49,0.71063,0.45553,0.93784,0.95872,0.84447,0.916,0.70768,0.84114,0.51006,1.01301,0.000396246,0.000396246,0.000396246
79,4248.99,0.69891,0.46148,0.94075,0.93321,0.86255,0.92441,0.71539,0.83598,0.51506,1.00764,0.000379743,0.000379743,0.000379743
80,4305.25,0.69847,0.44028,0.93641,0.95243,0.84377,0.9216,0.7097,0.84159,0.51855,1.00538,0.000363239,0.000363239,0.000363239
81,4359.57,0.71101,0.4538,0.93334,0.92263,0.85325,0.91333,0.70593,0.84716,0.50747,1.02176,0.000346736,0.000346736,0.000346736
82,4413.25,0.68987,0.43258,0.93357,0.95222,0.84229,0.91128,0.71248,0.83216,0.50686,1.01494,0.000330233,0.000330233,0.000330233
83,4468.99,0.68993,0.43592,0.92953,0.94467,0.84875,0.92264,0.71249,0.83163,0.49414,1.01345,0.000313729,0.000313729,0.000313729
84,4524.12,0.68548,0.44013,0.92862,0.91725,0.85982,0.92274,0.7193,0.83366,0.48957,1.00598,0.000297226,0.000297226,0.000297226
85,4578.2,0.66548,0.42791,0.91626,0.94546,0.85501,0.92672,0.70906,0.83727,0.48809,1.01513,0.000280723,0.000280723,0.000280723
86,4632.95,0.68842,0.43051,0.93525,0.9654,0.82863,0.92406,0.71905,0.84192,0.48251,1.01331,0.00026422,0.00026422,0.00026422
87,4687.35,0.66911,0.41241,0.92874,0.94008,0.84246,0.92683,0.724,0.82403,0.48104,1.01161,0.000247716,0.000247716,0.000247716
88,4743.81,0.67338,0.4209,0.92538,0.94171,0.84377,0.91805,0.70828,0.83544,0.48451,1.01823,0.000231213,0.000231213,0.000231213
89,4798.67,0.66569,0.42346,0.92072,0.95592,0.85628,0.92446,0.71524,0.83498,0.48049,1.01069,0.00021471,0.00021471,0.00021471
90,4852.48,0.6765,0.42998,0.92005,0.94184,0.85849,0.91704,0.71977,0.82408,0.48123,1.00738,0.000198206,0.000198206,0.000198206
91,4906.44,0.65665,0.3833,0.90262,0.92405,0.86103,0.91079,0.70905,0.82762,0.49521,1.00507,0.000181703,0.000181703,0.000181703
92,4958.48,0.64252,0.36233,0.90047,0.93358,0.85113,0.91257,0.71392,0.83965,0.50994,1.01584,0.0001652,0.0001652,0.0001652
93,5010.55,0.64353,0.35654,0.8949,0.93992,0.84945,0.91038,0.70641,0.84037,0.52368,1.01236,0.000148696,0.000148696,0.000148696
94,5063.54,0.62147,0.35861,0.88938,0.94305,0.8574,0.91699,0.71197,0.8275,0.50994,1.00101,0.000132193,0.000132193,0.000132193
95,5115.69,0.62812,0.35475,0.89275,0.93106,0.8422,0.91119,0.7153,0.8284,0.51346,1.00746,0.00011569,0.00011569,0.00011569
96,5167.41,0.61216,0.35191,0.8839,0.93332,0.84377,0.91384,0.718,0.83435,0.50917,1.01353,9.91865e-05,9.91865e-05,9.91865e-05
97,5220.37,0.60098,0.34012,0.88203,0.94126,0.845,0.91359,0.71987,0.83052,0.51288,1.00931,8.26832e-05,8.26832e-05,8.26832e-05
98,5272.16,0.59505,0.33581,0.87535,0.95004,0.84243,0.91341,0.71728,0.82505,0.50956,1.00562,6.61799e-05,6.61799e-05,6.61799e-05
